carrier_name,shipping_option_code,shipping_option_result,partner,service,last_update
Dropi Fretes,3970087,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4427108,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4420409,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4420399,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4420336,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4419283,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4419280,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4417427,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4467971,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,44660,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4464510,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4459534,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3939849,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3961922,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3960836,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3958900,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3956951,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3956899,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3955611,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3954673,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3953599,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3953523,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3953150,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3950476,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3950303,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3949625,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3947617,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3947569,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,4474323,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Dropi Fretes,3896244,Dropi Fretes - Outros,,Outros,2025-08-07 16:10:53
Lixlog,lix_todobrasil_normal,Lixlog - Outros,,Outros,2025-08-07 16:10:53
